ID,POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LAT,LONG
,324-11041,324-11040,1,Black,MS,N,N,SFMTA,ON,0,1104,BATTERY ST,2767000,MC3, ,37.801541,-122.401568
,700-02250,-,0,Black,SS,N,N,SFMTA,ON,0,225,VALENCIA ST,13055000,MC3, ,37.769211,-122.422194
,830-05560,-,0,Black,SS,Y,N,PORT,ON,0,556,EMBARCADERO NORTH,12556102,PortMC1, ,37.80091,-122.399398
,330-03300,-,0,Black,SS,Y,N,SFMTA,ON,0,330,BRANNAN ST,3075000,MC5,South Embarcadero,37.781456,-122.392718
,593-00031,593-00030,1,Black,MS,N,N,SFMTA,ON,0,3,OFARRELL ST,9720000,MC5,Downtown,37.786743,-122.405087
,464-03241,464-03240,1,Black,MS,N,N,SFMTA,ON,0,324,HAYES ST,6815000,MC5,Civic Center,37.777044,-122.422208
,462-18050,-,0,Black,SS,N,N,SFMTA,ON,0,1805,HAIGHT ST,6624000,MC3, ,37.769296,-122.452025
,440-08401,440-08400,1,Black,MS,N,N,SFMTA,ON,0,840,GEARY ST,6116000,MC3, ,37.786209,-122.417734
,209-04620,-,0,Black,SS,N,N,SFMTA,ON,0,462,09TH ST,458000,MC3, ,37.771378,-122.408779
,440-38180,-,0,Black,SS,N,N,SFMTA,ON,0,3818,GEARY BLVD,6058201,MC3, ,37.781318,-122.460687
,216-31090,-,0,Black,SS,Y,N,SFMTA,ON,0,3109,16TH ST,732000,MC5,Mission,37.764803,-122.422644
,370-01480,-,0,Black,SS,Y,N,SFMTA,ON,0,148,CAPP ST,3673000,MC5,Mission,37.763731,-122.418639
,331-05770,-,0,Black,SS,Y,N,SFMTA,ON,0,577,BRYANT ST,3284000,MC5,South Embarcadero,37.779773,-122.397639
,691-18030,-,0,Black,SS,N,N,SFMTA,ON,0,1803,UNION ST,12867000,MC3, ,37.797844,-122.429065
,525-00513,525-00500,13,Black,MS,Y,N,SFMTA,ON,0,51,KAPLAN LN,7741000,MC5,Downtown,37.784889,-122.398806
,563-03220,563-03004,22,Black,MS,Y,N,SFMTA,ON,0,322,MCALLISTER ST,8893000,MC5,Civic Center,37.780508,-122.417526
,701-05140,701-05004,14,Black,MS,Y,N,SFMTA,ON,0,514,VAN NESS AVE,13147202,MC5,Civic Center,37.780644,-122.4202
,561-00141,561-00140,1,Black,MS,N,N,SFMTA,ON,0,14,MAIN ST,8627000,MC5,Downtown,37.792753,-122.396202
,336-15311,336-15310,1,Black,MS,N,N,SFMTA,ON,0,1531,BUSH ST,3445000,MC3, ,37.78826,-122.423218
,469-17520,-,0,Black,SS,N,N,SFMTA,ON,0,1752,HOLLOWAY AVE,6998201,MC3, ,37.721012,-122.480453
,501-01121,501-01120,1,Black,MS,N,N,SFMTA,ON,0,112,JESSIE ST,7517000,MC5,Downtown,37.788219,-122.400689
,331-05190,-,0,Black,SS,Y,N,SFMTA,ON,0,519,BRYANT ST,3283000,MC5,South Embarcadero,37.78071,-122.396448
,684-01220,-,0,Black,SS,Y,N,SFMTA,ON,0,122,TOWNSEND ST,12657000,MC5,South Embarcadero,37.780088,-122.391342
,445-06071,445-06070,1,Black,MS,N,N,SFMTA,ON,0,607,GREEN ST,6454000,MC3, ,37.799416,-122.409338
,490-00110,-,0,Black,SS,N,N,SFMTA,ON,0,11,IRVING ST,7278000,MC3, ,37.764348,-122.457817
,422-08560,-,0,Black,SS,N,N,SFMTA,ON,0,856,FRONT ST,5874000,MC3, ,37.799591,-122.39998
,612-17320,-,0,Black,SS,N,N,SFMTA,ON,0,1732,POLK ST,10572000,MC3, ,37.793013,-122.421102
,687-00630,-,0,Black,SS,N,N,SFMTA,ON,0,63,TAPIA DR,12375000,MC3, ,37.721631,-122.480578
,666-24120,-,0,Black,SS,N,N,SFMTA,ON,0,2412,SUTTER ST,12343000,MC3, ,37.785237,-122.440382
,202-05460,-,0,Black,SS,Y,N,SFMTA,ON,0,546,02ND ST,144000,MC5,South Embarcadero,37.782545,-122.3931
,204-03200,-,0,Black,SS,N,N,SFMTA,ON,0,320,04TH ST,256000,MC5,South Embarcadero,37.781605,-122.400792
,204-03220,-,0,Black,SS,N,N,SFMTA,ON,0,322,04TH ST,256000,MC5,South Embarcadero,37.781592,-122.400775
,328-01290,-,0,Black,SS,N,N,SFMTA,ON,0,129,BEALE ST,2864000,MC5,Downtown,37.790628,-122.395002
,684-03951,684-03950,1,Black,MS,Y,N,SFMTA,ON,0,395,TOWNSEND ST,12663000,MC5,South Embarcadero,37.775306,-122.397049
,330-05380,-,0,Black,SS,Y,N,SFMTA,ON,0,538,BRANNAN ST,3080000,MC5,South Embarcadero,37.777646,-122.397544
